Date_Key,Date,Day,Month,Month_No,Quarter,Year,Week,Fiscal_Year
20230101,2023-01-01,Sunday,January,1,Q1,2023,52,FY2023
20230102,2023-01-02,Monday,January,1,Q1,2023,1,FY2023
20230103,2023-01-03,Tuesday,January,1,Q1,2023,1,FY2023
20230104,2023-01-04,Wednesday,January,1,Q1,2023,1,FY2023
20230105,2023-01-05,Thursday,January,1,Q1,2023,1,FY2023
20230106,2023-01-06,Friday,January,1,Q1,2023,1,FY2023
20230107,2023-01-07,Saturday,January,1,Q1,2023,1,FY2023
20230108,2023-01-08,Sunday,January,1,Q1,2023,1,FY2023
20230109,2023-01-09,Monday,January,1,Q1,2023,2,FY2023
20230110,2023-01-10,Tuesday,January,1,Q1,2023,2,FY2023
20230111,2023-01-11,Wednesday,January,1,Q1,2023,2,FY2023
20230112,2023-01-12,Thursday,January,1,Q1,2023,2,FY2023
20230113,2023-01-13,Friday,January,1,Q1,2023,2,FY2023
20230114,2023-01-14,Saturday,January,1,Q1,2023,2,FY2023
20230115,2023-01-15,Sunday,January,1,Q1,2023,2,FY2023
20230116,2023-01-16,Monday,January,1,Q1,2023,3,FY2023
20230117,2023-01-17,Tuesday,January,1,Q1,2023,3,FY2023
20230118,2023-01-18,Wednesday,January,1,Q1,2023,3,FY2023
20230119,2023-01-19,Thursday,January,1,Q1,2023,3,FY2023
20230120,2023-01-20,Friday,January,1,Q1,2023,3,FY2023
20230121,2023-01-21,Saturday,January,1,Q1,2023,3,FY2023
20230122,2023-01-22,Sunday,January,1,Q1,2023,3,FY2023
20230123,2023-01-23,Monday,January,1,Q1,2023,4,FY2023
20230124,2023-01-24,Tuesday,January,1,Q1,2023,4,FY2023
20230125,2023-01-25,Wednesday,January,1,Q1,2023,4,FY2023
20230126,2023-01-26,Thursday,January,1,Q1,2023,4,FY2023
20230127,2023-01-27,Friday,January,1,Q1,2023,4,FY2023
20230128,2023-01-28,Saturday,January,1,Q1,2023,4,FY2023
