Inventory_ID,Date_Key,Product_ID,Store_ID,Opening_Stock,Received,Sold,Closing_Stock,Reorder_Level,Expiry_Date,Batch_No
INVT000001,20240401,PRD013,ST048,190,62,28,224,25,2025-07-14,BAT000001
INVT000002,20231223,PRD217,ST003,65,23,27,61,25,2026-05-23,BAT000002
INVT000003,20230419,PRD288,ST013,416,139,53,502,25,2025-07-21,BAT000003
INVT000004,20260213,PRD004,ST049,462,40,89,413,40,2028-01-27,BAT000004
INVT000005,20260212,PRD080,ST014,440,86,13,513,20,2028-03-07,BAT000005
INVT000006,20240201,PRD184,ST023,359,67,103,323,20,2026-05-16,BAT000006
INVT000007,20240526,PRD194,ST006,332,75,106,301,50,2026-05-31,BAT000007
INVT000008,20250226,PRD036,ST003,388,58,98,348,30,2026-05-18,BAT000008
INVT000009,20250811,PRD052,ST025,192,116,81,227,30,2027-01-24,BAT000009
INVT000010,20270225,PRD182,ST014,393,68,89,372,20,2029-11-09,BAT000010
INVT000011,20241201,PRD274,ST047,175,41,59,157,40,2026-09-03,BAT000011
INVT000012,20250618,PRD167,ST050,447,14,29,432,20,2027-05-07,BAT000012
INVT000013,20270702,PRD138,ST005,158,145,112,191,30,2029-02-03,BAT000013
INVT000014,20280806,PRD203,ST042,284,36,33,287,25,2030-04-15,BAT000014
INVT000015,20251212,PRD300,ST028,348,102,46,404,25,2027-05-02,BAT000015
INVT000016,20280918,PRD253,ST006,436,12,110,338,20,2030-02-21,BAT000016
INVT000017,20241017,PRD217,ST039,82,98,48,132,50,2027-02-08,BAT000017
INVT000018,20281207,PRD129,ST036,490,2,87,405,20,2031-11-05,BAT000018
INVT000019,20251228,PRD175,ST008,200,111,20,291,40,2026-12-31,BAT000019
INVT000020,20251214,PRD257,ST049,141,129,116,154,20,2028-09-14,BAT000020
INVT000021,20260507,PRD260,ST039,151,39,47,143,25,2028-11-09,BAT000021
INVT000022,20281212,PRD001,ST039,215,125,2,338,20,2030-12-18,BAT000022
INVT000023,20260613,PRD123,ST004,173,145,10,308,20,2028-10-22,BAT000023
INVT000024,20231011,PRD273,ST050,114,32,84,62,40,2026-04-25,BAT000024
INVT000025,20241107,PRD136,ST034,496,108,27,577,50,2027-10-14,BAT000025
