Purchase_ID,Date_Key,Supplier_ID,Product_ID,Store_ID,Quantity,Purchase_Price,Purchase_Amount,Invoice_No,Lead_Time
PUR000001,20230514,SUP055,PRD248,ST037,57,180.76,10303.32,PINV000001,14
PUR000002,20280705,SUP036,PRD083,ST003,316,402.27,127117.32,PINV000002,2
PUR000003,20251020,SUP096,PRD185,ST003,265,690.93,183096.45,PINV000003,10
PUR000004,20261225,SUP049,PRD216,ST019,473,546.47,258480.31,PINV000004,8
PUR000005,20241216,SUP088,PRD156,ST043,235,123.72,29074.2,PINV000005,13
PUR000006,20250907,SUP057,PRD193,ST003,348,23.16,8059.68,PINV000006,3
PUR000007,20250309,SUP039,PRD275,ST024,445,720.59,320662.55,PINV000007,6
PUR000008,20280120,SUP056,PRD241,ST005,384,475.95,182764.8,PINV000008,14
PUR000009,20280817,SUP021,PRD115,ST027,172,48.8,8393.6,PINV000009,8
PUR000010,20260518,SUP078,PRD037,ST035,487,83.14,40489.18,PINV000010,7
PUR000011,20270313,SUP077,PRD077,ST008,447,623.05,278503.35,PINV000011,8
PUR000012,20241112,SUP025,PRD179,ST028,262,367.57,96303.34,PINV000012,11
PUR000013,20260130,SUP019,PRD268,ST012,492,113.2,55694.4,PINV000013,8
PUR000014,20260524,SUP022,PRD090,ST050,140,394.5,55230.0,PINV000014,6
PUR000015,20260905,SUP056,PRD115,ST001,328,575.81,188865.68,PINV000015,6
PUR000016,20260801,SUP032,PRD041,ST017,279,335.74,93671.46,PINV000016,3
PUR000017,20270519,SUP064,PRD124,ST048,318,793.97,252482.46,PINV000017,5
PUR000018,20281031,SUP062,PRD256,ST005,135,401.72,54232.2,PINV000018,8
PUR000019,20270702,SUP018,PRD216,ST035,349,292.4,102047.6,PINV000019,7
PUR000020,20280629,SUP090,PRD085,ST036,275,96.95,26661.25,PINV000020,7
PUR000021,20230525,SUP001,PRD225,ST035,83,59.45,4934.35,PINV000021,2
PUR000022,20240914,SUP014,PRD233,ST032,121,377.74,45706.54,PINV000022,7
PUR000023,20280814,SUP058,PRD176,ST047,182,720.39,131110.98,PINV000023,12
PUR000024,20280220,SUP055,PRD169,ST042,316,729.44,230503.04,PINV000024,3
PUR000025,20250830,SUP042,PRD017,ST044,150,521.23,78184.5,PINV000025,10
PUR000026,20280515,SUP004,PRD060,ST019,272,683.95,186034.4,PINV000026,4
PUR000027,20260331,SUP012,PRD024,ST039,331,618.13,204601.03,PINV000027,2
PUR000028,20260315,SUP021,PRD245,ST010,234,484.2,113302.8,PINV000028,15
PUR000029,20250225,SUP045,PRD094,ST006,352,171.83,60484.16,PINV000029,4
PUR000030,20240129,SUP088,PRD158,ST030,491,600.09,294644.19,PINV000030,12
PUR000031,20281109,SUP093,PRD217,ST029,390,599.89,233957.1,PINV000031,4
PUR000032,20251225,SUP077,PRD187,ST008,371,630.56,233937.76,PINV000032,1
PUR000033,20250508,SUP055,PRD210,ST025,496,653.45,324111.2,PINV000033,4
PUR000034,20231015,SUP099,PRD217,ST006,471,63.09,29715.39,PINV000034,5
PUR000035,20270115,SUP059,PRD218,ST049,149,510.5,76064.5,PINV000035,5
PUR000036,20280326,SUP089,PRD151,ST033,305,415.87,126840.35,PINV000036,5
PUR000037,20270716,SUP057,PRD175,ST023,421,236.11,99402.31,PINV000037,15
PUR000038,20280104,SUP062,PRD246,ST006,403,441.05,177743.15,PINV000038,6
PUR000039,20270718,SUP022,PRD213,ST047,338,71.08,24025.04,PINV000039,14
PUR000040,20260608,SUP003,PRD168,ST042,214,77.62,16610.68,PINV000040,7
PUR000041,20270312,SUP037,PRD096,ST016,136,260.02,35362.72,PINV000041,9
PUR000042,20230807,SUP029,PRD292,ST048,87,761.89,66284.43,PINV000042,4
PUR000043,20271205,SUP076,PRD009,ST026,153,284.69,43557.57,PINV000043,15
PUR000044,20250220,SUP067,PRD289,ST049,444,764.7,339526.8,PINV000044,6
PUR000045,20230715,SUP085,PRD297,ST004,68,460.84,31337.12,PINV000045,14
PUR000046,20270615,SUP042,PRD088,ST050,130,111.58,14505.4,PINV000046,13
PUR000047,20261115,SUP022,PRD016,ST047,324,418.67,135649.08,PINV000047,6
PUR000048,20231228,SUP051,PRD225,ST037,228,66.53,15168.84,PINV000048,15
PUR000049,20271227,SUP091,PRD242,ST040,281,583.6,163991.6,PINV000049,10
PUR000050,20241218,SUP046,PRD217,ST022,336,420.0,141120.0,PINV000050,7
PUR000051,20250307,SUP013,PRD222,ST042,128,52.25,6688.0,PINV000051,14
PUR000052,20250206,SUP082,PRD098,ST037,269,780.23,209881.87,PINV000052,13
PUR000053,20270115,SUP072,PRD193,ST004,359,60.43,21694.37,PINV000053,5
PUR000054,20250703,SUP007,PRD297,ST012,101,516.23,52139.23,PINV000054,6
PUR000055,20250130,SUP039,PRD022,ST026,356,615.47,219107.32,PINV000055,2
PUR000056,20261115,SUP098,PRD100,ST032,133,151.33,20126.89,PINV000056,13
PUR000057,20280401,SUP100,PRD169,ST003,138,670.02,92462.76,PINV000057,3
PUR000058,20270919,SUP020,PRD263,ST042,406,325.73,132246.38,PINV000058,2
PUR000059,20270613,SUP016,PRD121,ST007,266,582.92,155056.72,PINV000059,5
PUR000060,20260402,SUP069,PRD051,ST023,476,727.63,346351.88,PINV000060,10
PUR000061,20280430,SUP078,PRD126,ST035,198,29.53,5846.94,PINV000061,3
PUR000062,20270502,SUP089,PRD118,ST007,311,516.85,160740.35,PINV000062,8
PUR000063,20240213,SUP074,PRD205,ST038,161,244.11,39301.71,PINV000063,2
PUR000064,20250211,SUP080,PRD286,ST034,63,78.4,4939.2,PINV000064,13
PUR000065,20230509,SUP003,PRD221,ST022,476,736.52,350583.52,PINV000065,12
PUR000066,20230714,SUP046,PRD167,ST041,293,789.65,231367.45,PINV000066,3
PUR000067,20230319,SUP027,PRD066,ST019,470,177.2,83284.0,PINV000067,15
PUR000068,20251006,SUP050,PRD280,ST038,354,346.62,122703.48,PINV000068,9
PUR000069,20230508,SUP017,PRD003,ST008,64,674.08,43141.12,PINV000069,11
PUR000070,20241229,SUP016,PRD198,ST005,57,536.41,30575.37,PINV000070,12
PUR000071,20250118,SUP080,PRD216,ST004,332,152.23,50540.36,PINV000071,12
PUR000072,20270322,SUP075,PRD236,ST030,221,164.88,36438.48,PINV000072,7
PUR000073,20280227,SUP063,PRD187,ST043,86,128.45,11046.7,PINV000073,5
PUR000074,20241222,SUP012,PRD236,ST001,128,236.86,30318.08,PINV000074,15
PUR000075,20281119,SUP040,PRD073,ST050,103,438.92,45208.76,PINV000075,5
PUR000076,20261002,SUP001,PRD295,ST017,375,747.85,280443.75,PINV000076,9
PUR000077,20271018,SUP066,PRD075,ST046,80,514.43,41154.4,PINV000077,10
PUR000078,20230905,SUP083,PRD109,ST035,57,186.86,10651.02,PINV000078,5
PUR000079,20270912,SUP020,PRD014,ST024,314,542.1,170219.4,PINV000079,2
PUR000080,20280511,SUP039,PRD238,ST030,139,725.26,100811.14,PINV000080,3
PUR000081,20230424,SUP052,PRD079,ST029,386,721.53,278510.58,PINV000081,14
PUR000082,20250103,SUP044,PRD260,ST043,290,140.72,40808.8,PINV000082,8
PUR000083,20270514,SUP022,PRD241,ST045,190,785.79,149300.1,PINV000083,8
PUR000084,20281030,SUP046,PRD289,ST050,487,454.03,221112.61,PINV000084,3
PUR000085,20260720,SUP095,PRD163,ST009,78,376.97,29403.66,PINV000085,11
PUR000086,20261002,SUP068,PRD268,ST004,244,495.74,120960.56,PINV000086,15
PUR000087,20231130,SUP090,PRD019,ST009,67,793.33,53153.11,PINV000087,15
PUR000088,20270208,SUP056,PRD114,ST043,294,670.75,197200.5,PINV000088,15
PUR000089,20240107,SUP014,PRD035,ST024,463,375.68,173939.84,PINV000089,5
PUR000090,20241228,SUP096,PRD065,ST049,372,331.76,123414.72,PINV000090,12
PUR000091,20250227,SUP088,PRD124,ST047,129,673.93,86936.97,PINV000091,4
PUR000092,20281012,SUP077,PRD251,ST044,474,658.26,312015.24,PINV000092,7
PUR000093,20250220,SUP009,PRD275,ST047,433,140.83,60979.39,PINV000093,10
PUR000094,20240617,SUP010,PRD203,ST030,95,686.31,65199.45,PINV000094,4
PUR000095,20230218,SUP059,PRD092,ST043,137,306.24,41954.88,PINV000095,11
PUR000096,20250501,SUP032,PRD171,ST020,351,222.07,77946.57,PINV000096,1
PUR000097,20280607,SUP054,PRD183,ST022,52,273.95,14245.4,PINV000097,5
PUR000098,20280816,SUP100,PRD025,ST027,415,241.37,100168.55,PINV000098,3
PUR000099,20240418,SUP054,PRD220,ST006,111,380.48,42233.28,PINV000099,15
PUR000100,20231028,SUP049,PRD273,ST006,53,425.79,22566.87,PINV000100,12
PUR000101,20251130,SUP074,PRD248,ST006,265,756.59,200496.35,PINV000101,13
PUR000102,20270725,SUP062,PRD114,ST026,61,366.2,22338.2,PINV000102,8
PUR000103,20280712,SUP090,PRD215,ST020,337,532.39,179415.43,PINV000103,8
PUR000104,20241113,SUP030,PRD242,ST032,343,384.85,132003.55,PINV000104,5
PUR000105,20280110,SUP077,PRD012,ST033,328,306.72,100604.16,PINV000105,12
PUR000106,20280315,SUP039,PRD095,ST016,164,311.52,51089.28,PINV000106,3
PUR000107,20281215,SUP100,PRD014,ST035,339,643.7,218214.3,PINV000107,14
PUR000108,20230513,SUP008,PRD085,ST027,439,259.89,114091.71,PINV000108,13
PUR000109,20250312,SUP004,PRD087,ST030,210,53.48,11230.8,PINV000109,4
PUR000110,20230526,SUP003,PRD073,ST044,300,374.18,112254.0,PINV000110,6
PUR000111,20230401,SUP054,PRD183,ST017,58,140.58,8153.64,PINV000111,1
PUR000112,20240731,SUP084,PRD123,ST008,313,576.62,180482.06,PINV000112,15
PUR000113,20280422,SUP100,PRD152,ST023,213,450.62,95982.06,PINV000113,13
PUR000114,20260909,SUP077,PRD151,ST028,78,103.76,8093.28,PINV000114,11
PUR000115,20270113,SUP063,PRD224,ST031,232,74.49,17281.68,PINV000115,10
PUR000116,20250221,SUP071,PRD165,ST019,151,23.91,3610.41,PINV000116,12
PUR000117,20271026,SUP093,PRD022,ST049,425,153.67,65309.75,PINV000117,13
PUR000118,20280601,SUP047,PRD202,ST008,249,213.51,53163.99,PINV000118,4
PUR000119,20231114,SUP063,PRD028,ST036,479,736.3,352687.7,PINV000119,8
PUR000120,20231206,SUP100,PRD045,ST016,492,524.9,258250.8,PINV000120,3
PUR000121,20280115,SUP052,PRD287,ST013,401,350.14,140406.14,PINV000121,4
PUR000122,20271117,SUP053,PRD098,ST015,420,568.35,238707.0,PINV000122,14
PUR000123,20270116,SUP062,PRD067,ST049,463,174.73,80899.99,PINV000123,10
