,Date_Key,Date,Day,Month,Month_No,Quarter,Year,Week,Fiscal_Year
0,1970-01-01 00:00:00.020230101,2023-01-01,Sunday,January,1,Q1,2023,52,FY2023
1,1970-01-01 00:00:00.020230102,2023-01-02,Monday,January,1,Q1,2023,1,FY2023
2,1970-01-01 00:00:00.020230103,2023-01-03,Tuesday,January,1,Q1,2023,1,FY2023
3,1970-01-01 00:00:00.020230104,2023-01-04,Wednesday,January,1,Q1,2023,1,FY2023
4,1970-01-01 00:00:00.020230105,2023-01-05,Thursday,January,1,Q1,2023,1,FY2023
5,1970-01-01 00:00:00.020230106,2023-01-06,Friday,January,1,Q1,2023,1,FY2023
6,1970-01-01 00:00:00.020230107,2023-01-07,Saturday,January,1,Q1,2023,1,FY2023
7,1970-01-01 00:00:00.020230108,2023-01-08,Sunday,January,1,Q1,2023,1,FY2023
8,1970-01-01 00:00:00.020230109,2023-01-09,Monday,January,1,Q1,2023,2,FY2023
9,1970-01-01 00:00:00.020230110,2023-01-10,Tuesday,January,1,Q1,2023,2,FY2023
10,1970-01-01 00:00:00.020230111,2023-01-11,Wednesday,January,1,Q1,2023,2,FY2023
11,1970-01-01 00:00:00.020230112,2023-01-12,Thursday,January,1,Q1,2023,2,FY2023
12,1970-01-01 00:00:00.020230113,2023-01-13,Friday,January,1,Q1,2023,2,FY2023
13,1970-01-01 00:00:00.020230114,2023-01-14,Saturday,January,1,Q1,2023,2,FY2023
14,1970-01-01 00:00:00.020230115,2023-01-15,Sunday,January,1,Q1,2023,2,FY2023
15,1970-01-01 00:00:00.020230116,2023-01-16,Monday,January,1,Q1,2023,3,FY2023
16,1970-01-01 00:00:00.020230117,2023-01-17,Tuesday,January,1,Q1,2023,3,FY2023
17,1970-01-01 00:00:00.020230118,2023-01-18,Wednesday,January,1,Q1,2023,3,FY2023
18,1970-01-01 00:00:00.020230119,2023-01-19,Thursday,January,1,Q1,2023,3,FY2023
19,1970-01-01 00:00:00.020230120,2023-01-20,Friday,January,1,Q1,2023,3,FY2023
20,1970-01-01 00:00:00.020230121,2023-01-21,Saturday,January,1,Q1,2023,3,FY2023
21,1970-01-01 00:00:00.020230122,2023-01-22,Sunday,January,1,Q1,2023,3,FY2023
22,1970-01-01 00:00:00.020230123,2023-01-23,Monday,January,1,Q1,2023,4,FY2023
23,1970-01-01 00:00:00.020230124,2023-01-24,Tuesday,January,1,Q1,2023,4,FY2023
24,1970-01-01 00:00:00.020230125,2023-01-25,Wednesday,January,1,Q1,2023,4,FY2023
25,1970-01-01 00:00:00.020230126,2023-01-26,Thursday,January,1,Q1,2023,4,FY2023
