Sales_ID,Date_Key,Product_ID,Customer_ID,Store_ID,Employee_ID,Payment_ID,Quantity,Unit_Price,Discount,Tax,Sales_Amount,Cost_Amount,Gross_Profit,Invoice_No,calculate,Difference,Date
1,20261017,58,410,48,71,2,8,226.52,55.72,210.77,1967.21,1466.46,500.75,INV2026000001,1967.21,0.0,2026-10-17
2,20260713,45,9675,28,9,1,3,343.58,156.27,104.94,979.41,576.48,402.93,INV2026000002,979.41,1.1368683772161605e-13,2026-07-13
3,20250723,367,10648,45,140,4,8,684.83,457.23,602.57,5623.98,4680.16,943.82,INV2026000003,5623.98,0.0,2025-07-23
4,20250613,358,6925,22,72,2,7,1436.68,1015.52,1084.95,10126.19,5857.67,4268.52,INV2026000004,10126.19,0.0,2025-06-13
5,20250410,184,5636,39,68,1,15,813.62,3562.86,1036.97,9678.41,8329.28,1349.13,INV2026000005,9678.409999999998,-1.8189894035458565e-12,2025-04-10
6,20260720,151,10300,40,227,3,19,304.59,120.76,679.97,6346.42,4522.37,1824.05,INV2026000006,6346.419999999999,-9.094947017729282e-13,2026-07-20
7,20251024,41,3815,7,98,3,15,960.81,1577.4,1540.17,14374.92,9793.97,4580.95,INV2026000007,14374.92,0.0,2025-10-24
8,20250803,344,4375,45,240,1,20,959.77,3075.91,1934.34,18053.83,12202.21,5851.62,INV2026000008,18053.83,0.0,2025-08-03
9,20260419,195,4423,41,177,5,8,1033.23,2090.06,741.09,6916.87,6791.21,125.66,INV2026000009,6916.870000000001,9.094947017729282e-13,2026-04-19
10,20250823,421,526,21,103,3,3,332.25,281.95,85.78,800.58,853.94,53.36,INV2026000010,800.5799999999999,-1.1368683772161605e-13,2025-08-23
11,20251119,109,10739,32,102,4,5,412.02,152.42,228.92,2136.6,1537.82,598.78,INV2026000011,2136.6,0.0,2025-11-19
12,20250927,383,9578,28,230,5,13,555.75,2161.63,607.57,5670.69,4323.41,1347.28,INV2026000012,5670.69,0.0,2025-09-27
13,20260521,47,772,8,40,2,14,902.69,1458.77,1341.47,12520.36,9586.44,2933.92,INV2026000013,12520.36,-1.8189894035458565e-12,2026-05-21
14,20260425,271,4120,36,221,1,4,1028.93,663.01,414.33,3867.04,2648.01,1219.03,INV2026000014,3867.04,0.0,2026-04-25
15,20261019,175,1828,19,112,2,15,24.8,80.59,34.97,326.38,298.3,28.08,INV2026000015,326.38,0.0,2026-10-19
16,20260528,391,2928,33,234,1,10,1265.67,1927.6,1287.49,12016.59,7842.33,4174.26,INV2026000016,12016.59,0.0,2026-05-28
17,20260118,391,2647,35,245,5,1,906.44,132.87,92.83,866.4,534.03,332.37,INV2026000017,866.4000000000001,1.1368683772161605e-13,2026-01-18
18,20260107,450,5039,16,15,2,19,1421.49,694.01,3157.72,29472.02,19448.59,10023.43,INV2026000018,29472.020000000004,3.637978807091713e-12,2026-01-07
19,20250312,390,8728,50,33,2,16,1421.34,1126.57,2593.78,24208.65,16707.81,7500.84,INV2026000019,24208.65,-3.637978807091713e-12,2025-03-12
20,20260914,217,3471,35,194,2,10,610.51,1230.21,584.99,5459.88,4155.72,1304.16,INV2026000020,5459.88,0.0,2026-09-14
21,20260614,232,1983,16,58,1,11,51.13,93.46,56.28,525.25,425.17,100.08,INV2026000021,525.2500000000001,1.1368683772161605e-13,2026-06-14
22,20250108,37,11598,41,16,2,3,1360.02,1052.21,363.34,3391.19,2345.22,1045.97,INV2026000022,3391.19,0.0,2025-01-08
23,20250901,143,10961,32,55,5,5,1090.56,1443.44,481.12,4490.48,4098.73,391.75,INV2026000023,4490.48,0.0,2025-09-01
24,20250906,402,7750,27,49,1,4,995.29,423.15,426.96,3984.97,2762.47,1222.5,INV2026000024,3984.97,0.0,2025-09-06
25,20250225,345,10707,42,26,1,13,1097.76,3427.55,1301.2,12144.53,8394.76,3749.77,INV2026000025,12144.53,-1.8189894035458565e-12,2025-02-25
26,20250716,98,8787,29,36,4,6,432.25,194.36,287.9,2687.04,2264.5,422.54,INV2026000026,2687.04,0.0,2025-07-16
27,20260330,414,9017,7,13,5,1,1454.11,404.11,126.0,1176.0,1231.69,55.69,INV2026000027,1176.0,0.0,2026-03-30
28,20250620,209,7957,31,55,4,2,263.66,0.34,63.24,590.22,362.08,228.14,INV2026000028,590.22,0.0,2025-06-20
29,20260411,147,6931,45,246,5,16,249.1,354.77,435.7,4066.53,3543.39,523.14,INV2026000029,4066.53,-4.547473508864641e-13,2026-04-11
30,20260817,377,8884,4,192,3,2,94.21,26.95,19.38,180.85,164.26,16.59,INV2026000030,180.85,0.0,2026-08-17
31,20260628,81,932,33,21,2,3,900.65,547.32,258.56,2413.19,1708.5,704.69,INV2026000031,2413.19,-4.547473508864641e-13,2026-06-28
32,20250503,483,9334,16,149,5,2,936.68,235.61,196.53,1834.28,1413.05,421.23,INV2026000032,1834.28,0.0,2025-05-03
33,20260620,162,4273,14,172,3,8,413.11,129.76,381.01,3556.13,2564.34,991.79,INV2026000033,3556.13,0.0,2026-06-20
34,20260414,162,1189,1,118,5,19,1494.22,623.97,3331.95,31098.16,17732.62,13365.54,INV2026000034,31098.16,0.0,2026-04-14
35,20250929,68,5719,5,226,2,12,441.78,696.89,552.54,5157.01,3923.68,1233.33,INV2026000035,5157.009999999999,-9.094947017729282e-13,2025-09-29
36,20251106,314,10715,34,3,5,10,1399.0,434.75,1626.63,15181.88,11994.25,3187.63,INV2026000036,15181.88,1.8189894035458565e-12,2025-11-06
